fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,country,hydrogen_is_retail,access_code,access_detail_code,federal_agency_code
ELEC,Aurora Transportation Center,233 N Broadway,Parking spot reserved for electric vehicles,Aurora,IL,60505,,630-256-4636,E,,Public,24 hours daily,,,,,,2,,,,,200-9,41.759985,-88.309739,2018-01-04,33356,2018-03-06 01:51:07 UTC,LG,,,2006-11-02,,,,,J1772,US,,public,,
ELEC,City of Champaign - Hill Street Parking Deck,123 W Hill St,From Neil St head west on Hill or enter the deck from Randolph St between Church and Hill. Four charging stations on 3rd floor  east end of parking deck.,Champaign,IL,61820,,217-403-4700,E,,Public,24 hours daily; pay lot,,,,,,4,,,,,200-8,40.119235,-88.243915,2018-01-04,33921,2018-03-06 01:54:38 UTC,LG,,,2009-01-15,,,,,J1772,US,,public,,
ELEC,MILLENNIUM GRGS,5 S Columbus Dr,MILLENNIUM GRG1; Go down the ramp to the Millenium Garage  Turn Left,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,1,,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.8824425,-87.6204453,2018-05-09,36361,2018-05-09 08:50:39 UTC,,,,,,,,,NEMA520,US,,public,,
ELEC,INTERPARK,17 E Adams St,"ADAMS WABASH 1; Adams &amp; Wabash Self-Park Garage   www.InterParkGreen.com
ADAMS WABASH 2; Adams &amp; Wabash Self-Park Garage  www.InterParkGreen.com",Chicago,IL,60603,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.879396,-87.626578,2018-05-09,36611,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,INTERPARK,211 W Adams St,"WILLIS TOWER 1; ChargePoint Station Located on North Side of Third (3rd) Floor
WILLIS TOWER W; ChargePoint Station Located on North Side of Third (3rd) Floor",Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.879018,-87.634438,2018-05-09,36613,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,INTERPARK,230 W Washington St,WASH FRANK NEW; -,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.8834035,-87.635081,2018-05-09,36614,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,INTERPARK,20 E Randolph St,"20 E RANDOLPH 1; Wabash-Randolph Self-Park Garage  www.InterParkGreen.com 
20 E RANDOLPH 2; Wabash-Randolph Self-Park Garage  www.InterParkGreen.com",Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.884864,-87.627044,2018-05-09,36615,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,INTERPARK,177 N Wells St,LAKE & WELLS 2; Lake Wells Self-Park Garage  www.InterParkGreen.com,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.8852234,-87.6337509,2018-05-09,36617,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,INTERPARK,50 E Ohio St,"50 EAST OHIO 1; Located on the east center ramp 4th floor
50 EAST OHIO 2; Located on east center ramp 4th floor",Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.892777,-87.626092,2018-05-09,36619,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,INTERPARK,318 S Federal St,"SOUTH LOOP 1; South Loop Self-Park Garage  www.InterParkGreen.com 
SOUTH LOOP 2; South Loop Self-Park Garage  www.InterParkGreen.com",Chicago,IL,60604,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.877804,-87.629911,2018-05-09,37164,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
